topic_id,topic_label,document_count,percentage,keywords,representative_document,representative_document_short
0,"Topik Semantik 0: they, general, let",23,58.97,"they, general, let, path, leaders, general assembly, achieve, humanity, the path, their","Let rising nations help others to live themself. I am convinced that the leaders of the great world civilisations: civilisations of the West, civilisations of the East, of the North, of the South, leaders of America, Europe, of India, China, the Islamic world, the whole world, I am convinced that they will rise to their role demanded by history. We are all hopeful that the leaders of the world will show great statesmanship, great wisdom, restraint, humility, overcome hate, overcome suspicion.","Let rising nations help others to live themself. I am convinced that the leaders of the great world civilisations: civilisations of the West, civilisations of the East, of the North, of the South, leaders of America, Europe, of India, China, the Islamic world, the whole world, I am convinced that they will rise to their role demanded by history. We..."
1,Peran Indonesia dalam Diplomasi Internasional,16,41.03,"indonesia, security, oppression, poverty, rice, revolution, poverty and, needs, must also, sense","“All men are created equal” was the creed that opened the way to unprecedented global prosperity and dignity. And yet, in our own era of scientific and technological triumphs - an era capable of ending hunger, poverty, and environmental ruin - we also continue to face today grave dangerous challenges and uncertainties. Human folly, fueled by fear, racism, hatred, oppression, and apartheid, threatens our common future.","“All men are created equal” was the creed that opened the way to unprecedented global prosperity and dignity. And yet, in our own era of scientific and technological triumphs - an era capable of ending hunger, poverty, and environmental ruin - we also continue to face today grave dangerous challenges and uncertainties. Human folly, fueled by fear, ..."
