chunk_count,count
Pembangunan sumber daya manusia,19
Ketahanan nasional dan kedaulatan strategis,16
Diplomasi dan tatanan global,12
Kesejahteraan sosial dan pemerataan pembangunan,8
Identitas nasional dan kepemimpinan,6
Tata kelola pemerintahan dan rule of law,6
Transformasi ekonomi dan pembangunan produktif,5
Ketahanan lingkungan dan keberlanjutan,2
