manual_selective_theme_clean,dominant_bertopic_topic_id,dominant_topic_count,theme_document_count,theme_concentration,dominant_bertopic_topic_name,auto_topic_label
Pembangunan manusia dan keadilan sosial,6,4,24,0.1667,6_anak_orang tuamu_tuamu_son,anak / orang tuamu / tuamu / son / kau
Kedaulatan dan kemandirian nasional,0,8,22,0.3636,0_bupati_hadir_menteri_hormati,bupati / hadir / menteri / hormati / wali kota
"Diplomasi, perdamaian, dan keadilan global",7,4,12,0.3333,7_united nations_nations_united_peace,united nations / nations / united / peace / all
Reformasi tata kelola dan penegakan hukum,1,2,6,0.3333,1_kampus_stability_growth_peace stability,kampus / stability / growth / peace stability / over
Transformasi ekonomi dan pembangunan nasional,1,1,5,0.2,1_kampus_stability_growth_peace stability,kampus / stability / growth / peace stability / over
Keberlanjutan lingkungan dan sumber daya,-1,1,2,0.5,-1_melindungi_ancaman_melindungi ancaman_pertumbuhan,Outlier / tidak terklaster
