manual_selective_theme_clean,dominant_bertopic_topic_id,dominant_topic_count,theme_document_count,theme_concentration,dominant_bertopic_topic_name,auto_topic_label,alignment_level,interpretation_note
Pembangunan manusia dan keadilan sosial,6,4,24,0.1667,6_anak_orang tuamu_tuamu_son,anak / orang tuamu / tuamu / son / kau,Lemah,"Tema manual 'Pembangunan manusia dan keadilan sosial' paling sering dipetakan ke BERTopic Topic 6 dengan 4 dari 24 chunk. Tingkat alignment dikategorikan lemah (theme concentration=0.1667). Keyword topik dominan: anak, orang tuamu, tuamu, son, kau, ya, anak anak, dukungan."
Kedaulatan dan kemandirian nasional,0,8,22,0.3636,0_bupati_hadir_menteri_hormati,bupati / hadir / menteri / hormati / wali kota,Lemah,"Tema manual 'Kedaulatan dan kemandirian nasional' paling sering dipetakan ke BERTopic Topic 0 dengan 8 dari 22 chunk. Tingkat alignment dikategorikan lemah (theme concentration=0.3636). Keyword topik dominan: bupati, hadir, menteri, hormati, wali kota, wali, saudari, gubernur."
"Diplomasi, perdamaian, dan keadilan global",7,4,12,0.3333,7_united nations_nations_united_peace,united nations / nations / united / peace / all,Lemah,"Tema manual 'Diplomasi, perdamaian, dan keadilan global' paling sering dipetakan ke BERTopic Topic 7 dengan 4 dari 12 chunk. Tingkat alignment dikategorikan lemah (theme concentration=0.3333). Keyword topik dominan: united nations, nations, united, peace, all, together, secure, may."
Reformasi tata kelola dan penegakan hukum,1,2,6,0.3333,1_kampus_stability_growth_peace stability,kampus / stability / growth / peace stability / over,Lemah,"Tema manual 'Reformasi tata kelola dan penegakan hukum' paling sering dipetakan ke BERTopic Topic 1 dengan 2 dari 6 chunk. Tingkat alignment dikategorikan lemah (theme concentration=0.3333). Keyword topik dominan: kampus, stability, growth, peace stability, over, always, economy, it."
Transformasi ekonomi dan pembangunan nasional,1,1,5,0.2,1_kampus_stability_growth_peace stability,kampus / stability / growth / peace stability / over,Lemah,"Tema manual 'Transformasi ekonomi dan pembangunan nasional' paling sering dipetakan ke BERTopic Topic 1 dengan 1 dari 5 chunk. Tingkat alignment dikategorikan lemah (theme concentration=0.2). Keyword topik dominan: kampus, stability, growth, peace stability, over, always, economy, it."
Keberlanjutan lingkungan dan sumber daya,-1,1,2,0.5,-1_melindungi_ancaman_melindungi ancaman_pertumbuhan,Outlier / tidak terklaster,Sedang,"Tema manual 'Keberlanjutan lingkungan dan sumber daya' paling sering dipetakan ke BERTopic Topic -1 dengan 1 dari 2 chunk. Tingkat alignment dikategorikan sedang (theme concentration=0.5). Keyword topik dominan: melindungi, ancaman, melindungi ancaman, pertumbuhan, merdeka, who save, berani melihat, tujuan."
