chunk_count,count
Pembangunan manusia dan keadilan sosial,27
Kedaulatan dan kemandirian nasional,22
"Diplomasi, perdamaian, dan keadilan global",12
Reformasi tata kelola dan penegakan hukum,6
Transformasi ekonomi dan pembangunan nasional,5
Keberlanjutan lingkungan dan sumber daya,2
