manual_selective_theme_clean,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Diplomasi, perdamaian, dan keadilan global",0.0,0.1667,0.1667,0.0833,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0833
Keberlanjutan lingkungan dan sumber daya,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedaulatan dan kemandirian nasional,0.0,0.3636,0.0,0.1818,0.1364,0.0455,0.1364,0.0,0.0,0.0455,0.0,0.0455,0.0,0.0455,0.0
Pembangunan manusia dan keadilan sosial,0.0417,0.0833,0.0833,0.0417,0.0833,0.125,0.0417,0.1667,0.0,0.125,0.0,0.0417,0.125,0.0,0.0417
Reformasi tata kelola dan penegakan hukum,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.1667
Transformasi ekonomi dan pembangunan nasional,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
